,bikeid,mean_tripduration
10001,29399,733.8743961352657
8879,28155,733.8807339449542
11754,31532,733.8978102189781
862,15622,733.9026548672566
7155,26363,733.9039735099337
12436,32435,733.9491525423729
6723,25771,733.9521276595744
600,15298,734.0130718954248
2740,17930,734.0620689655173
12982,33007,734.1360544217687
5423,21319,734.1557093425605
2724,17912,734.1654135338346
12229,32224,734.2037037037037
12818,32836,734.286432160804
9326,28607,734.3092783505155
9972,29370,734.3152709359606
3038,18283,734.328947368421
8793,28069,734.3773006134969
12405,32403,734.3894736842105
3335,18646,734.4104477611941
9926,29322,734.471264367816
10737,30455,734.5220588235294
12659,32666,734.5689655172414
11143,30881,734.5699481865284
2844,18054,734.5833333333334
1066,15881,734.6129032258065
1516,16453,734.6476190476191
5710,21659,734.74
3758,19158,734.7860696517413
6151,25181,734.8090909090909
5815,24830,734.8268398268398
10277,29954,734.8511904761905
12899,32920,734.8680203045685
